"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"WDR72",2.0328050933905e-09,2.63906334097731,0.26,0.065,4.1993687619261e-05,"6","WDR72"
"SLC2A4",2.09324811807332e-09,3.99436310643545,0.096,0.008,4.32423196231587e-05,"6","SLC2A4"
"EPCAM1",2.29507834685228e-09,2.35554320169244,0.507,0.257,4.74117284892745e-05,"6","EPCAM"
"LTK",2.35464715245462e-09,3.62175187335059,0.096,0.008,4.86423008754075e-05,"6","LTK"
"GPR1601",2.41688557268275e-09,2.81180826797224,0.151,0.023,4.99280221604803e-05,"6","GPR160"
"STEAP4",2.87398635471698e-09,3.65210316162588,0.123,0.015,5.93708101157434e-05,"6","STEAP4"
"COX5B1",2.93383796848196e-09,0.884363723495351,0.795,0.776,6.06072247529004e-05,"6","COX5B"
"HES42",3.44794584296991e-09,1.86598754708532,0.452,0.193,7.12276652240725e-05,"6","HES4"
"CLCNKB",4.00845317982601e-09,5.86595321521602,0.082,0.006,8.28066257888458e-05,"6","CLCNKB"
"UQCR101",4.39337191700463e-09,1.06833585535318,0.781,0.725,9.07582770614817e-05,"6","UQCR10"
"LNX11",4.5309423841014e-09,1.94607146083491,0.192,0.038,9.36002077707667e-05,"6","LNX1"
"QSOX1",4.99339228069191e-09,1.83763950346818,0.233,0.054,0.000103153497734534,"6","QSOX1"
"TCEB21",5.74733152970024e-09,0.983022150356269,0.836,0.735,0.000118728374740548,"6","TCEB2"
"ATP1A12",7.01768409485243e-09,2.02121262642495,0.603,0.366,0.000144971318031462,"6","ATP1A1"
"CD591",7.12553484325385e-09,1.4184714889535,0.699,0.568,0.000147199298791938,"6","CD59"
"TSTD12",8.17874853514178e-09,1.32309914999143,0.699,0.583,0.000168956587238959,"6","TSTD1"
"FXYD32",8.20634096244887e-09,0.858246682362683,0.863,0.735,0.000169526591602269,"6","FXYD3"
"BCAS1",1.01267148180001e-08,4.32201335358435,0.096,0.009,0.000209197674710246,"6","BCAS1"
"CAB39L",1.11447923757254e-08,2.90148623324359,0.178,0.034,0.000230229120897734,"6","CAB39L"
"TMPRSS21",1.18427312529195e-08,3.24678631212346,0.11,0.013,0.000244647142222812,"6","TMPRSS2"
"ATP6V1G11",1.2347040885927e-08,1.33739277993103,0.795,0.659,0.00025506517062148,"6","ATP6V1G1"
"CST3",1.42461105052284e-08,0.182890278157946,0.753,0.613,0.000294296150817008,"6","CST3"
"XBP11",1.75161860832354e-08,2.02019809608301,0.425,0.182,0.000361849372107476,"6","XBP1"
"MUC11",1.84609868627125e-08,2.56855990157053,0.425,0.179,0.000381367066609915,"6","MUC1"
